image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.790409,car,car,True
drive_022,2,3,0.788823,car,car,True
drive_022,3,4,0.737424,car,car,True
drive_022,4,2,0.894486,bus,van,False
drive_022,5,5,0.831192,truck,bus,False
drive_033,1,2,0.747317,truck,bus,False
drive_033,2,11,0.82326,car,car,True
drive_033,3,12,0.865562,bus,van,False
drive_033,4,8,0.783116,car,car,True
drive_033,5,7,0.771464,car,car,True
drive_033,6,3,0.801598,car,car,True
drive_033,7,4,0.671932,car,car,True
drive_033,9,9,0.813878,car,car,True
drive_033,16,5,0.751757,car,car,True
drive_033,17,6,0.84656,car,car,True
drive_038,4,6,0.85038,car,car,True
drive_038,5,12,0.70601,car,car,True
drive_038,6,7,0.877272,car,car,True
drive_038,7,11,0.863875,car,car,True
drive_038,8,8,0.862286,car,car,True
drive_038,9,10,0.823566,car,car,True
drive_038,10,13,0.777544,car,car,True
drive_038,11,14,0.852382,car,car,True
drive_038,12,15,0.886521,van,truck,False
drive_038,13,9,0.94108,truck,bus,False
drive_038,14,16,0.83408,car,car,True
drive_038,15,17,0.848805,car,car,True
drive_038,16,5,0.922598,truck,bus,False
drive_038,31,2,0.898652,car,car,True
drive_038,32,3,0.856378,car,car,True
drive_038,33,1,0.783252,car,car,True
drive_038,34,4,0.749897,car,car,True
drive_008,1,16,0.918018,car,car,True
drive_008,2,12,0.849051,van,truck,False
drive_008,3,3,0.943023,van,truck,False
drive_008,4,6,0.842812,car,car,True
drive_008,5,11,0.885764,car,car,True
drive_008,6,2,0.848103,car,car,True
drive_008,8,5,0.863984,van,truck,False
drive_008,9,4,0.857638,car,car,True
drive_008,10,9,0.960403,bus,van,False
drive_008,13,7,0.81314,car,car,True
drive_008,14,13,0.733048,car,car,True
drive_008,15,14,0.762592,car,car,True
drive_008,16,1,0.768836,truck,bus,False
drive_008,18,15,0.137804,car,car,True
